('team40_A2', 'greedy_player', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'hard-3x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('team40_A2', 'greedy_player', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
('greedy_player', 'team40_A2', '0.1', 'random-2x3.txt', 'No move was supplied. Player 2 wins the game.')
